FROM,TO,LINK,EVENT
10/23/1940,10/23/1940,https://ww2db.com/battle_spec.php?battle_id=226,Meeting at Hendaye
10/27/1940,11/12/1940,https://ww2db.com/battle_spec.php?battle_id=204,Battle of Gabon
10/28/1940,6/1/1941,https://ww2db.com/battle_spec.php?battle_id=36,Balkans Campaign
11/11/1940,11/12/1940,https://ww2db.com/battle_spec.php?battle_id=102,Attack on Taranto
11/25/1940,11/30/1940,https://ww2db.com/battle_spec.php?battle_id=80,Battle of Han River
12/8/1940,2/9/1941,https://ww2db.com/battle_spec.php?battle_id=1,Operation Compass
1/5/1941,1/13/1941,https://ww2db.com/battle_spec.php?battle_id=330,New Fourth Army incident
1/6/1941,3/1/1941,https://ww2db.com/battle_spec.php?battle_id=253,Battle of Kufra
1/19/1941,5/16/1941,https://ww2db.com/battle_spec.php?battle_id=108,Invasion of Italian East Africa
1/22/1941,3/22/1941,https://ww2db.com/battle_spec.php?battle_id=265,Operation Berlin
1/29/1941,3/30/1941,https://ww2db.com/battle_spec.php?battle_id=240,ABC-1 Conference
1/30/1941,3/1/1941,https://ww2db.com/battle_spec.php?battle_id=201,Battle of South Henan
2/8/1941,5/6/1941,https://ww2db.com/battle_spec.php?battle_id=256,Operation Sonnenblume
3/21/1941,3/23/1941,https://ww2db.com/battle_spec.php?battle_id=252,Battle of Giarabub
3/27/1941,3/29/1941,https://ww2db.com/battle_spec.php?battle_id=104,Battle of Matapan
4/2/1941,8/30/1941,https://ww2db.com/battle_spec.php?battle_id=98,Campaigns in the Middle East
4/10/1941,11/27/1941,https://ww2db.com/battle_spec.php?battle_id=258,Siege of Tobruk
4/13/1941,4/13/1941,https://ww2db.com/battle_spec.php?battle_id=199,Soviet-Japanese Neutrality Pact
4/19/1941,4/20/1941,https://ww2db.com/battle_spec.php?battle_id=257,Bardia Raid
5/7/1941,5/27/1941,https://ww2db.com/battle_spec.php?battle_id=229,Battle of South Shanxi
5/15/1941,5/16/1941,https://ww2db.com/battle_spec.php?battle_id=259,Operation Brevity
5/24/1941,5/24/1941,https://ww2db.com/battle_spec.php?battle_id=19,Battle of Denmark Strait
6/15/1941,6/17/1941,https://ww2db.com/battle_spec.php?battle_id=260,Operation Battleaxe
6/22/1941,9/22/1941,https://ww2db.com/battle_spec.php?battle_id=127,Operation Silver Fox
6/22/1941,9/30/1941,https://ww2db.com/battle_spec.php?battle_id=121,Operation Barbarossa
8/8/1941,10/16/1941,https://ww2db.com/battle_spec.php?battle_id=128,Siege of Odessa
8/9/1941,8/12/1941,https://ww2db.com/battle_spec.php?battle_id=71,Atlantic Charter Conference
8/21/1941,5/30/1945,https://ww2db.com/battle_spec.php?battle_id=298,Arctic Convoys
9/4/1941,1/27/1944,https://ww2db.com/battle_spec.php?battle_id=125,Siege of Leningrad
9/6/1941,10/8/1941,https://ww2db.com/battle_spec.php?battle_id=183,Second Battle of Changsha
9/29/1941,10/1/1941,https://ww2db.com/battle_spec.php?battle_id=118,First Moscow Conference
9/30/1941,1/7/1942,https://ww2db.com/battle_spec.php?battle_id=37,Battle of Moscow
10/20/1941,10/24/1941,https://ww2db.com/battle_spec.php?battle_id=58,First Battle of Kharkov
10/30/1941,7/4/1942,https://ww2db.com/battle_spec.php?battle_id=214,Battle of Sevastopol
11/18/1941,12/14/1941,https://ww2db.com/battle_spec.php?battle_id=261,Operation Crusader
12/7/1941,12/7/1941,https://ww2db.com/battle_spec.php?battle_id=17,Attack on Pearl Harbor
12/7/1941,5/5/1942,https://ww2db.com/battle_spec.php?battle_id=46,Invasion of the Philippine Islands
12/8/1941,12/10/1941,https://ww2db.com/battle_spec.php?battle_id=56,Invasion of Guam
12/8/1941,12/25/1941,https://ww2db.com/battle_spec.php?battle_id=61,Battle of Hong Kong
12/8/1941,2/15/1942,https://ww2db.com/battle_spec.php?battle_id=47,Invasion of Malaya and Singapore
12/11/1941,12/23/1941,https://ww2db.com/battle_spec.php?battle_id=57,Battle of Wake Island
12/13/1941,12/13/1941,https://ww2db.com/battle_spec.php?battle_id=11,Battle of Cape Bon
12/14/1941,5/26/1942,https://ww2db.com/battle_spec.php?battle_id=59,Invasion of Burma
12/15/1941,4/1/1942,https://ww2db.com/battle_spec.php?battle_id=63,"Dutch East Indies Campaign, Borneo"
12/19/1941,12/19/1941,https://ww2db.com/battle_spec.php?battle_id=268,Underwater Raid of Alexandria
12/22/1941,1/14/1942,https://ww2db.com/battle_spec.php?battle_id=119,First Washington Conference
12/24/1941,1/15/1942,https://ww2db.com/battle_spec.php?battle_id=184,Third Battle of Changsha
1/1/1942,4/1/1949,https://ww2db.com/battle_spec.php?battle_id=225,Internment of Japanese-Americans and Japanese-Canadians
1/9/1942,5/5/1942,https://ww2db.com/battle_spec.php?battle_id=245,Rzhev-Vyazma Offensive and the Demyansk Pocket
1/11/1942,7/31/1942,https://ww2db.com/battle_spec.php?battle_id=64,"Dutch East Indies Campaign, Celebes and Moluccas"
1/14/1942,8/31/1942,https://ww2db.com/battle_spec.php?battle_id=277,Second Happy Time
1/20/1942,1/20/1942,https://ww2db.com/battle_spec.php?battle_id=233,Wannsee Conference
1/20/1942,1/24/1942,https://ww2db.com/battle_spec.php?battle_id=60,"New Guinea-Papua Campaign, Phase 1, Bismarck Islands"
2/4/1942,3/31/1942,https://ww2db.com/battle_spec.php?battle_id=23,"Dutch East Indies Campaign, Java"
2/11/1942,2/13/1942,https://ww2db.com/battle_spec.php?battle_id=105,Operation Cerberus
2/13/1942,3/28/1942,https://ww2db.com/battle_spec.php?battle_id=213,"Dutch East Indies Campaign, Sumatra"
2/16/1942,1/1/1944,https://ww2db.com/battle_spec.php?battle_id=276,Caribbean Sea and Gulf of Mexico Campaigns
2/19/1942,2/19/1942,https://ww2db.com/battle_spec.php?battle_id=22,Attack on Darwin
3/2/1942,9/30/1943,https://ww2db.com/battle_spec.php?battle_id=327,"Bombing of Rome, Naples, and Other Cities"
3/8/1942,3/4/1943,https://ww2db.com/battle_spec.php?battle_id=288,"New Guinea-Papua Campaign, Phase 2"
3/23/1942,3/23/1942,https://ww2db.com/battle_spec.php?battle_id=190,Fall of the Andaman and Nicobar Islands
3/28/1942,3/28/1942,https://ww2db.com/battle_spec.php?battle_id=212,Raid on Saint-Nazaire
3/28/1942,4/3/1945,https://ww2db.com/battle_spec.php?battle_id=55,"Bombing of Hamburg, Dresden, and Other Cities"
3/31/1942,4/9/1942,https://ww2db.com/battle_spec.php?battle_id=7,Raids into the Indian Ocean
4/18/1942,4/18/1942,https://ww2db.com/battle_spec.php?battle_id=26,Doolittle Raid
5/5/1942,11/5/1942,https://ww2db.com/battle_spec.php?battle_id=4,Madagascar Campaign
5/7/1942,5/8/1942,https://ww2db.com/battle_spec.php?battle_id=16,Battle of Coral Sea
5/12/1942,5/28/1942,https://ww2db.com/battle_spec.php?battle_id=50,Second Battle of Kharkov
5/15/1942,9/15/1942,https://ww2db.com/battle_spec.php?battle_id=287,Zhejiang-Jiangxi Campaign
5/26/1942,6/21/1942,https://ww2db.com/battle_spec.php?battle_id=262,Battle of Gazala
6/4/1942,6/7/1942,https://ww2db.com/battle_spec.php?battle_id=6,Battle of Midway and the Aleutian Islands
6/9/1942,6/10/1942,https://ww2db.com/battle_spec.php?battle_id=332,Lidice Massacre
6/20/1942,6/23/1942,https://ww2db.com/battle_spec.php?battle_id=139,Second Washington Conference
6/23/1942,6/28/1942,https://ww2db.com/battle_spec.php?battle_id=263,Battle of Mersa Matruh
7/1/1942,7/27/1942,https://ww2db.com/battle_spec.php?battle_id=264,First Battle of El Alamein
7/17/1942,2/2/1943,https://ww2db.com/battle_spec.php?battle_id=3,Battle of Stalingrad
7/23/1942,10/9/1943,https://ww2db.com/battle_spec.php?battle_id=284,Caucasus Campaign
8/7/1942,2/9/1943,https://ww2db.com/battle_spec.php?battle_id=9,Guadalcanal Campaign
8/12/1942,8/17/1942,https://ww2db.com/battle_spec.php?battle_id=138,Second Moscow Conference
8/17/1942,8/18/1942,https://ww2db.com/battle_spec.php?battle_id=168,Makin Island Raid
8/18/1942,8/19/1942,https://ww2db.com/battle_spec.php?battle_id=99,Attack on Dieppe
8/23/1942,12/25/1943,https://ww2db.com/battle_spec.php?battle_id=8,Solomon Islands Campaign
8/30/1942,9/5/1942,https://ww2db.com/battle_spec.php?battle_id=266,Battle of Alam el Halfa
9/12/1942,9/17/1942,https://ww2db.com/battle_spec.php?battle_id=325,Laconia Incident
9/13/1942,9/19/1942,https://ww2db.com/battle_spec.php?battle_id=267,Raids in Libya
10/21/1942,10/22/1942,https://ww2db.com/battle_spec.php?battle_id=194,Cherchell Conference
10/23/1942,11/11/1942,https://ww2db.com/battle_spec.php?battle_id=51,Second Battle of El Alamein
11/8/1942,11/16/1942,https://ww2db.com/battle_spec.php?battle_id=100,Operation Torch
11/10/1942,12/25/1942,https://ww2db.com/battle_spec.php?battle_id=223,Advance into Tunisia
11/26/1942,11/27/1942,https://ww2db.com/battle_spec.php?battle_id=247,Battle of Brisbane
11/27/1942,11/27/1942,https://ww2db.com/battle_spec.php?battle_id=210,Scuttling of the French Fleet
12/1/1942,1/31/1943,https://ww2db.com/battle_spec.php?battle_id=320,Invasion of French Somaliland
12/21/1942,4/3/1943,https://ww2db.com/battle_spec.php?battle_id=187,First Battle of Arakan
12/31/1942,12/31/1942,https://ww2db.com/battle_spec.php?battle_id=107,Battle of the Barents Sea
1/14/1943,1/14/1943,https://ww2db.com/battle_spec.php?battle_id=65,Casablanca Conference
1/30/1943,2/17/1943,https://ww2db.com/battle_spec.php?battle_id=269,Battle of Faïd Pass and Sidi Bouzid
2/8/1943,4/27/1943,https://ww2db.com/battle_spec.php?battle_id=282,Operation Longcloth
2/16/1943,3/15/1943,https://ww2db.com/battle_spec.php?battle_id=39,Third Battle of Kharkov
2/19/1943,2/25/1943,https://ww2db.com/battle_spec.php?battle_id=270,Battle of Kasserine Pass
3/6/1943,3/10/1943,https://ww2db.com/battle_spec.php?battle_id=271,Battle of Medenine
3/9/1943,3/9/1943,https://ww2db.com/battle_spec.php?battle_id=209,Operation Creek
3/19/1943,3/31/1943,https://ww2db.com/battle_spec.php?battle_id=272,Operations Pugilist and Supercharge II
3/22/1943,3/22/1943,https://ww2db.com/battle_spec.php?battle_id=137,Khatyn Massacre
3/23/1943,4/7/1943,https://ww2db.com/battle_spec.php?battle_id=273,Battle of El Guettar
3/26/1943,8/16/1943,https://ww2db.com/battle_spec.php?battle_id=20,Aleutian Islands Campaign
4/4/1943,4/4/1943,https://ww2db.com/battle_spec.php?battle_id=338,The Davao Escape
4/6/1943,4/7/1943,https://ww2db.com/battle_spec.php?battle_id=275,Battle of Wadi Akarit
4/7/1943,5/13/1943,https://ww2db.com/battle_spec.php?battle_id=24,Conclusion of the Desert War
4/19/1943,4/19/1943,https://ww2db.com/battle_spec.php?battle_id=234,Bermuda Conference
4/19/1943,5/16/1943,https://ww2db.com/battle_spec.php?battle_id=151,Warsaw Ghetto Uprising
4/29/1943,5/24/1943,https://ww2db.com/battle_spec.php?battle_id=34,Black May
4/30/1943,4/30/1943,https://ww2db.com/battle_spec.php?battle_id=279,Operation Mincemeat
5/5/1943,6/11/1943,https://ww2db.com/battle_spec.php?battle_id=296,Battle of Exi
5/12/1943,5/25/1943,https://ww2db.com/battle_spec.php?battle_id=66,Trident Conference
5/17/1943,5/17/1943,https://ww2db.com/battle_spec.php?battle_id=211,Dambuster Raid
6/4/1943,7/1/1943,https://ww2db.com/battle_spec.php?battle_id=132,Raid on Gorkiy
6/8/1943,6/13/1943,https://ww2db.com/battle_spec.php?battle_id=208,Battle of Pantelleria and Pelagie Islands
7/4/1943,7/13/1943,https://ww2db.com/battle_spec.php?battle_id=40,Battle of Kursk
7/10/1943,9/3/1943,https://ww2db.com/battle_spec.php?battle_id=53,Invasion of Sicily and Italy's Surrender
8/1/1943,8/1/1943,https://ww2db.com/battle_spec.php?battle_id=111,Operation Tidal Wave
8/3/1943,8/14/1943,https://ww2db.com/battle_spec.php?battle_id=290,Battle of Belgorod
8/12/1943,8/23/1943,https://ww2db.com/battle_spec.php?battle_id=289,Fourth Battle of Kharkov
8/14/1943,8/24/1943,https://ww2db.com/battle_spec.php?battle_id=67,Quadrant Conference
9/3/1943,9/17/1943,https://ww2db.com/battle_spec.php?battle_id=307,Operation Avalanche
9/8/1943,11/20/1943,https://ww2db.com/battle_spec.php?battle_id=97,Dodecanese Campaign
9/12/1943,9/12/1943,https://ww2db.com/battle_spec.php?battle_id=248,Operation Eiche
9/27/1943,9/30/1943,https://ww2db.com/battle_spec.php?battle_id=308,Naples Uprising
9/30/1943,5/23/1945,https://ww2db.com/battle_spec.php?battle_id=48,"New Guinea-Papua Campaign, Phase 3"
10/3/1943,1/15/1944,https://ww2db.com/battle_spec.php?battle_id=309,Advance to the Gustav Line
10/6/1943,10/6/1943,https://ww2db.com/battle_spec.php?battle_id=129,Battle of the Black Sea
10/18/1943,11/10/1943,https://ww2db.com/battle_spec.php?battle_id=140,Third Moscow Conference
10/22/1943,10/23/1943,https://ww2db.com/battle_spec.php?battle_id=328,Weather Station Kurt
11/2/1943,12/20/1943,https://ww2db.com/battle_spec.php?battle_id=185,Battle of Changde
11/3/1943,11/4/1943,https://ww2db.com/battle_spec.php?battle_id=235,Erntefest Massacre
11/3/1943,12/10/1943,https://ww2db.com/battle_spec.php?battle_id=148,Battle of Kiev
11/5/1943,11/6/1943,https://ww2db.com/battle_spec.php?battle_id=70,Greater East Asia Conference
11/13/1943,11/24/1943,https://ww2db.com/battle_spec.php?battle_id=72,Gilbert Islands Campaign
11/22/1943,11/26/1943,https://ww2db.com/battle_spec.php?battle_id=68,Cairo Conference
11/28/1943,12/1/1943,https://ww2db.com/battle_spec.php?battle_id=69,Tehran Conference
12/4/1943,12/6/1943,https://ww2db.com/battle_spec.php?battle_id=142,Second Cairo Conference
12/26/1943,12/26/1943,https://ww2db.com/battle_spec.php?battle_id=278,Battle of the North Cape
12/30/1943,4/6/1944,https://ww2db.com/battle_spec.php?battle_id=291,Second Battle of Arakan
1/17/1944,5/18/1944,https://ww2db.com/battle_spec.php?battle_id=312,Battle of Monte Cassino
1/19/1944,1/21/1944,https://ww2db.com/battle_spec.php?battle_id=227,Anzac Conference
1/22/1944,6/4/1944,https://ww2db.com/battle_spec.php?battle_id=313,Battle of Anzio
1/29/1944,2/21/1944,https://ww2db.com/battle_spec.php?battle_id=73,Marshall Islands Campaign
2/1/1944,2/1/1944,https://ww2db.com/battle_spec.php?battle_id=337,Operation Kutschera
2/16/1944,2/18/1944,https://ww2db.com/battle_spec.php?battle_id=14,Attack on Truk
3/5/1944,8/27/1944,https://ww2db.com/battle_spec.php?battle_id=286,Operation Thursday
3/8/1944,7/3/1944,https://ww2db.com/battle_spec.php?battle_id=188,Battle of Imphal-Kohima
3/10/1944,8/3/1944,https://ww2db.com/battle_spec.php?battle_id=143,Battle of Myitkyina
4/1/1944,1/27/1945,https://ww2db.com/battle_spec.php?battle_id=189,Salween Offensive
4/8/1944,9/26/1944,https://ww2db.com/battle_spec.php?battle_id=300,Jassy-Kishinev Offensive and Romania's Surrender
4/19/1944,5/17/1944,https://ww2db.com/battle_spec.php?battle_id=196,Operation Cockpit and Operation Transom
4/19/1944,12/31/1944,https://ww2db.com/battle_spec.php?battle_id=144,Operation Ichigo
5/18/1944,6/1/1944,https://ww2db.com/battle_spec.php?battle_id=335,Deportation of Crimean Tatars
6/4/1944,6/17/1944,https://ww2db.com/battle_spec.php?battle_id=329,The Capture of the U-505
6/4/1944,7/31/1944,https://ww2db.com/battle_spec.php?battle_id=314,Advance to the Gothic Line
6/6/1944,7/24/1944,https://ww2db.com/battle_spec.php?battle_id=2,"Normandy Campaign, Phase 1"
5/25/1943,5/8/1945,https://ww2db.com/battle_spec.php?battle_id=35,Conclusion of the Battle of the Atlantic
6/13/1944,8/10/1944,https://ww2db.com/battle_spec.php?battle_id=10,Mariana Islands Campaign and the Great Turkey Shoot
6/21/1944,7/17/1944,https://ww2db.com/battle_spec.php?battle_id=215,Battle of Tali-Ihantala and Battle of Vuosalmi
6/22/1944,8/29/1944,https://ww2db.com/battle_spec.php?battle_id=41,Operation Bagration
7/20/1944,7/21/1944,https://ww2db.com/battle_spec.php?battle_id=147,July Plot
7/24/1944,4/29/1945,https://ww2db.com/battle_spec.php?battle_id=136,Discovery of Concentration Camps and the Holocaust
7/25/1944,8/22/1944,https://ww2db.com/battle_spec.php?battle_id=112,"Normandy Campaign, Phase 2"
7/26/1944,7/27/1944,https://ww2db.com/battle_spec.php?battle_id=75,Pacific Strategy Conference
8/1/1944,10/2/1944,https://ww2db.com/battle_spec.php?battle_id=150,Warsaw Uprising
8/1/1944,5/11/1945,https://ww2db.com/battle_spec.php?battle_id=113,Brittany Campaign
8/5/1944,8/5/1944,https://ww2db.com/battle_spec.php?battle_id=219,The Cowra Breakout
8/15/1944,9/15/1944,https://ww2db.com/battle_spec.php?battle_id=110,Invasion of Southern France
8/25/1944,8/25/1944,https://ww2db.com/battle_spec.php?battle_id=115,Liberation of Paris
8/25/1944,12/17/1944,https://ww2db.com/battle_spec.php?battle_id=315,Gothic Line Offensive
8/26/1944,9/8/1944,https://ww2db.com/battle_spec.php?battle_id=301,Bulgaria Switched Sides
8/29/1944,10/28/1944,https://ww2db.com/battle_spec.php?battle_id=311,Slovak National Uprising
9/2/1944,11/2/1944,https://ww2db.com/battle_spec.php?battle_id=193,Liberation of Belgium
9/4/1944,9/15/1944,https://ww2db.com/battle_spec.php?battle_id=133,Finland Switched Sides
9/11/1944,9/16/1944,https://ww2db.com/battle_spec.php?battle_id=76,Octagon Conference
9/14/1944,11/24/1944,https://ww2db.com/battle_spec.php?battle_id=302,Belgrade Strategic Offensive Operation
9/15/1944,12/1/1944,https://ww2db.com/battle_spec.php?battle_id=77,Palau Islands and Ulithi Islands Campaigns
9/15/1944,1/14/1945,https://ww2db.com/battle_spec.php?battle_id=203,Battle of Morotai
9/17/1944,9/25/1944,https://ww2db.com/battle_spec.php?battle_id=52,Operation Market Garden
9/19/1944,2/10/1945,https://ww2db.com/battle_spec.php?battle_id=117,Battle of Hürtgen Forest
10/2/1944,11/8/1944,https://ww2db.com/battle_spec.php?battle_id=116,Battle of the Scheldt Estuary
10/9/1944,10/19/1944,https://ww2db.com/battle_spec.php?battle_id=141,Fourth Moscow Conference
10/22/1944,10/22/1944,https://ww2db.com/battle_spec.php?battle_id=198,Nemmersdorf Massacre
10/22/1944,12/21/1944,https://ww2db.com/battle_spec.php?battle_id=5,"Philippines Campaign, Phase 1, the Leyte Campaign"
10/29/1944,2/13/1945,https://ww2db.com/battle_spec.php?battle_id=303,Budapest Strategic Offensive Operation
11/14/1944,12/14/1944,https://ww2db.com/battle_spec.php?battle_id=145,Battle of Bhamo
11/25/1944,2/22/1945,https://ww2db.com/battle_spec.php?battle_id=109,Battle of Monte Castello
12/12/1944,2/28/1945,https://ww2db.com/battle_spec.php?battle_id=216,Third Battle of Arakan
12/12/1944,8/15/1945,https://ww2db.com/battle_spec.php?battle_id=27,"Philippines Campaign, Phase 2"
12/16/1944,1/28/1945,https://ww2db.com/battle_spec.php?battle_id=42,Battle of the Bulge
12/18/1944,12/18/1944,https://ww2db.com/battle_spec.php?battle_id=79,Typhoon Cobra
12/26/1944,12/28/1944,https://ww2db.com/battle_spec.php?battle_id=306,Battle of Garfagnana
1/10/1945,1/20/1945,https://ww2db.com/battle_spec.php?battle_id=323,Raid into the South China Sea
1/12/1945,2/2/1945,https://ww2db.com/battle_spec.php?battle_id=274,Vistula-Oder Offensive
1/13/1945,1/13/1945,https://ww2db.com/battle_spec.php?battle_id=130,Fifth Moscow Conference
1/13/1945,4/26/1945,https://ww2db.com/battle_spec.php?battle_id=197,East Prussian Offensive
1/19/1945,3/29/1945,https://ww2db.com/battle_spec.php?battle_id=192,Battle of Meiktila-Mandalay
1/20/1945,3/25/1945,https://ww2db.com/battle_spec.php?battle_id=131,Advance to the Rhine
1/30/1945,2/3/1945,https://ww2db.com/battle_spec.php?battle_id=292,Malta Conference
2/4/1945,2/11/1945,https://ww2db.com/battle_spec.php?battle_id=78,Yalta Conference
2/8/1945,5/6/1945,https://ww2db.com/battle_spec.php?battle_id=319,Silesian Offensive and the Siege of Breslau
2/19/1945,3/26/1945,https://ww2db.com/battle_spec.php?battle_id=12,Battle of Iwo Jima
2/19/1945,8/10/1945,https://ww2db.com/battle_spec.php?battle_id=217,Bombing of Tokyo and Other Cities
2/24/1945,4/4/1945,https://ww2db.com/battle_spec.php?battle_id=222,East Pomeranian Offensive
3/22/1945,4/1/1945,https://ww2db.com/battle_spec.php?battle_id=134,Crossing the Rhine
3/25/1945,4/18/1945,https://ww2db.com/battle_spec.php?battle_id=135,Fall of the Ruhr
